Chronologic VCS simulator copyright 1991-2011
Contains Synopsys proprietary information.
Compiler version E-2011.03_Full64; Runtime version E-2011.03_Full64;  Jan 25 15:04 2013
STARTING TESTBENCH!

  i=        220  reset=1  state=10  in=0  out=0  correct=1
  i=        221  reset=0  state=00  in=1  out=0  correct=1
  i=        222  reset=0  state=01  in=0  out=0  correct=1
  i=        223  reset=0  state=10  in=0  out=0  correct=1
  i=        224  reset=0  state=00  in=1  out=0  correct=1
  i=        225  reset=0  state=01  in=0  out=0  correct=1
  i=        226  reset=0  state=10  in=0  out=0  correct=1
  i=        227  reset=0  state=00  in=1  out=0  correct=1
  i=        228  reset=0  state=01  in=1  out=0  correct=1
  i=        229  reset=0  state=01  in=1  out=0  correct=1
  i=        230  reset=1  state=01  in=0  out=0  correct=1
  i=        231  reset=0  state=00  in=0  out=0  correct=1
  i=        232  reset=0  state=00  in=0  out=0  correct=1
  i=        233  reset=0  state=00  in=1  out=0  correct=1
  i=        234  reset=0  state=01  in=0  out=0  correct=1
  i=        235  reset=0  state=10  in=0  out=0  correct=1
  i=        236  reset=0  state=00  in=1  out=0  correct=1
  i=        237  reset=0  state=01  in=0  out=0  correct=1
  i=        238  reset=0  state=10  in=0  out=0  correct=1
  i=        239  reset=0  state=00  in=0  out=0  correct=1
  i=        240  reset=1  state=00  in=0  out=0  correct=1
  i=        241  reset=0  state=00  in=1  out=0  correct=1
  i=        242  reset=0  state=01  in=0  out=0  correct=1
  i=        243  reset=0  state=10  in=0  out=0  correct=1
  i=        244  reset=0  state=00  in=0  out=0  correct=1
  i=        245  reset=0  state=00  in=1  out=0  correct=1
  i=        246  reset=0  state=01  in=1  out=0  correct=1
  i=        247  reset=0  state=01  in=0  out=0  correct=1
  i=        248  reset=0  state=10  in=1  out=0  correct=1
  i=        249  reset=0  state=11  in=1  out=1  correct=1
  i=        250  reset=1  state=01  in=1  out=0  correct=1
  i=        251  reset=0  state=00  in=1  out=0  correct=1
  i=        252  reset=0  state=01  in=0  out=0  correct=1
  i=        253  reset=0  state=10  in=1  out=0  correct=1
  i=        254  reset=0  state=11  in=1  out=1  correct=1
  i=        255  reset=0  state=01  in=1  out=0  correct=1
  i=        256  reset=0  state=01  in=0  out=0  correct=1
  i=        257  reset=0  state=10  in=0  out=0  correct=1
  i=        258  reset=0  state=00  in=1  out=0  correct=1
  i=        259  reset=0  state=01  in=0  out=0  correct=1
  i=        260  reset=1  state=10  in=0  out=0  correct=1
  i=        261  reset=0  state=00  in=1  out=0  correct=1
  i=        262  reset=0  state=01  in=1  out=0  correct=1
  i=        263  reset=0  state=01  in=0  out=0  correct=1
  i=        264  reset=0  state=10  in=0  out=0  correct=1
  i=        265  reset=0  state=00  in=1  out=0  correct=1
  i=        266  reset=0  state=01  in=0  out=0  correct=1
  i=        267  reset=0  state=10  in=0  out=0  correct=1
  i=        268  reset=0  state=00  in=1  out=0  correct=1
  i=        269  reset=0  state=01  in=0  out=0  correct=1
  i=        270  reset=1  state=10  in=1  out=0  correct=1
